unix,low,high,open,close,volume,date,vol_fiat
1705536000,40600.05,42877.22,42737.68,41293.5,25089.48495636,2024-01-18,1036032647.0454516
1705449600,42160.0,43185.47,43130.35,42739.49,16377.4603776,2024-01-17,699964304.0338314
1705363200,42028.02,43569.23,42481.69,43130.45,18180.4405406,2024-01-16,784130581.7143213
1705276800,41680.0,43331.91,41698.13,42490.16,10869.45830576,2024-01-15,461845022.5250713
1705190400,41680.73,43064.13,42839.32,41697.33,7834.26155365,2024-01-14,326667789.3088568
1705104000,42427.0,43250.0,42775.1,42839.33,10998.76404264,2024-01-13,471179682.414789
1705017600,41444.97,46522.2,46344.96,42773.03,46862.43347199,2024-01-12,2004448272.7704325
1704931200,45555.55,49102.29,46678.54,46342.66,38150.89478822,2024-01-11,1768013945.8662517
1704844800,44320.01,47732.5,46120.79,46666.11,36534.39765866,2024-01-10,1704918219.9227698
1704758400,44701.54,47901.0,46995.09,46124.08,26305.56366042,2024-01-09,1213319922.718305
1704672000,43200.44,47330.0,43954.52,46995.1,26447.17326625,2024-01-08,1242887552.3647454
1704585600,43629.7,44510.01,43992.79,43950.28,5931.34650683,2024-01-07,260684339.75220042
1704499200,43436.5,44260.95,44187.76,43992.44,5691.43460343,2024-01-06,250380095.30531806
1704412800,42450.0,44443.37,44198.35,44186.59,18073.09561495,2024-01-05,798588465.9685935
1704326400,42650.0,44800.0,42860.58,44193.29,18190.29825676,2024-01-04,803889126.0474892
1704240000,40625.68,45519.32,44972.81,42862.44,32281.85234351,2024-01-03,1383678959.162557
1704153600,44195.13,45925.82,44220.78,44972.8,29583.38407747,2024-01-02,1330447615.4392428
1704067200,42175.65,44240.8,42288.58,44220.78,7977.72851143,2024-01-01,352781377.4036735
1703980800,41964.68,42850.0,42139.32,42288.06,11397.57303743,2023-12-31,481981252.46122205
1703894400,41518.19,42593.73,42064.22,42141.03,11609.82377015,2023-12-30,489249931.79260427
1703808000,41300.0,43137.1,42581.23,42063.45,16756.43323881,2023-12-29,704833391.7190225
1703721600,42265.08,43830.34,43469.06,42581.23,13583.91599843,2023-12-28,578419851.4298276
1703635200,42111.47,43709.98,42521.21,43474.4,12917.48404475,2023-12-27,561579868.3550794
1703548800,41600.67,43605.0,43589.67,42515.53,13030.02545286,2023-12-26,553978438.0418329
1703462400,42755.35,43818.29,43025.02,43589.67,4799.73104807,2023-12-25,209218692.47412542
1703376000,42614.17,43985.67,43728.36,43025.03,4947.00165569,2023-12-24,212844894.6461119
1703289600,43333.35,44033.84,44013.65,43726.35,4075.08953972,2023-12-23,178188791.49513564
1703203200,43412.82,44424.36,43875.56,44013.73,10733.55348079,2023-12-22,472423724.8440513
1703116800,43295.78,44250.0,43673.11,43875.32,13170.9728222,2023-12-21,577880647.285328
1703030400,42184.48,44324.86,42266.25,43674.77,19307.1089644,2023-12-20,843233543.3851081
1702944000,41780.0,43461.86,42650.01,42266.22,13403.93447528,2023-12-19,566533643.3977691
1702857600,40508.01,42754.79,41349.59,42650.01,13394.33474824,2023-12-18,571268510.9557835
1702771200,41222.0,42367.82,42235.23,41349.59,6649.06495765,2023-12-17,274936109.8821948
1702684800,41626.66,42680.2,41934.84,42237.29,5315.65582307,2023-12-16,224518896.53919628
1702598400,41640.51,43095.71,43027.77,41933.89,10861.72864667,2023-12-15,455474534.2793087
1702512000,41426.76,43442.15,42887.39,43027.77,15434.25971384,2023-12-14,664101777.0873733
1702425600,40553.15,43475.0,41477.6,42885.54,15796.88171408,2023-12-13,677457802.6244464
1702339200,40636.51,42088.56,41229.61,41477.39,13414.86773655,2023-12-12,556413700.9073017
1702252800,40150.0,43811.81,43793.67,41229.61,25524.67094691,2023-12-11,1052372228.5194299
1702166400,43562.06,44049.51,43722.84,43793.68,3919.09423649,2023-12-10,171631558.8826874
1702080000,43586.14,44384.68,44192.86,43723.25,5469.40708431,2023-12-09,239140253.29905722
1701993600,43087.17,44754.99,43281.11,44192.87,13579.0453041,2023-12-08,600096983.8482018
1701907200,42846.53,44057.23,43766.41,43280.95,13055.36691088,2023-12-07,565048682.5014517
1701820800,43369.0,44290.37,44086.33,43764.05,15977.54656616,2023-12-06,699242146.7987546
1701734400,41384.03,45000.0,41985.53,44084.39,24018.76035474,2023-12-05,1058852398.7948965
1701648000,39983.6,42410.46,39984.81,41987.24,21993.05995554,2023-12-04,923427886.6876472
1701561600,39293.02,40221.22,39467.42,39984.81,7153.15663784,2023-12-03,286017609.0642712
1701475200,38660.03,39740.0,38706.55,39478.95,7540.7688183,2023-12-02,297701635.13922477
1701388800,37618.25,39000.0,37732.27,38703.54,16395.90197806,2023-12-01,634579448.0439243
1701302400,37500.0,38152.18,37864.79,37732.27,8081.19248391,2023-11-30,304921736.72486275
1701216000,37581.93,38480.0,37838.26,37863.84,15162.68883049,2023-11-29,574117623.8474604
1701129600,36873.55,38425.96,37241.64,37838.26,18156.47258233,2023-11-28,687009330.2530739
1701043200,36715.1,37578.42,37462.01,37241.63,13510.45476059,2023-11-27,503151357.3256314
1700956800,37156.72,37842.17,37806.84,37462.79,6113.0562518,2023-11-26,229012142.61937052
1700870400,37615.91,37920.27,37746.29,37805.99,3567.42244915,2023-11-25,134869937.4383404
1700784000,37257.56,38454.0,37304.04,37745.84,17507.8900414,2023-11-24,660850016.2402778
1700697600,36888.0,37653.67,37424.31,37304.05,7211.31754936,2023-11-23,269011350.42720294
